epoch,train_loss,train_acc,val_loss,val_acc
1,0.0176,99.66,0.0000,100.00
2,0.0000,100.00,0.0000,100.00
3,0.0000,100.00,0.0000,100.00
4,0.0000,100.00,0.0000,100.00
5,0.0000,100.00,0.0000,100.00
