epoch,train_loss,train_acc,val_loss,val_acc
1,0.5998,79.29,1.7497,57.00
2,0.1768,92.91,2.6895,52.23
3,0.1279,95.03,2.7669,49.83
4,0.0986,96.15,3.2272,47.64
5,0.0802,96.93,2.7506,53.58
6,0.0388,98.55,2.9621,55.54
7,0.1888,91.83,1.6022,63.73
8,0.0770,97.05,1.5698,66.24
9,0.0573,97.87,1.6745,67.55
10,0.0469,98.29,1.8463,64.64
11,0.0420,98.48,1.7197,65.55
12,0.0647,97.59,0.8905,78.67
13,0.0402,98.54,0.9124,80.26
14,0.0340,98.75,0.9680,78.53
15,0.0300,98.96,1.0034,79.65
16,0.0282,98.99,0.9739,77.71
17,0.1144,95.26,0.5366,83.63
18,0.0749,97.00,0.6977,83.29
19,0.0634,97.51,0.6108,83.48
20,0.0573,97.76,0.6416,83.52
