epoch,train_loss,train_acc,val_loss,val_acc
1,2.3255,63.52,1.2886,71.67
2,1.7757,66.71,1.0181,76.33
3,1.5594,67.11,0.8882,77.32
4,0.9949,69.70,0.5821,78.08
5,0.5742,76.48,0.5314,78.22
6,0.5418,77.99,0.5254,78.24
7,0.5345,78.18,0.5278,78.24
8,0.5312,78.20,0.5248,78.24
9,0.5281,78.22,0.5255,78.24
10,0.5264,78.22,0.5254,78.24
11,0.5243,78.22,0.5261,78.24
