epoch,train_loss,train_bin_acc,train_multi_acc,val_loss,val_bin_acc,val_multi_acc
1,0.0133,99.83,99.61,0.0003,100.00,100.00
2,0.0001,100.00,100.00,0.0001,100.00,100.00
3,0.0000,100.00,100.00,0.0000,100.00,100.00
4,0.0000,100.00,100.00,0.0000,100.00,100.00
5,0.0000,100.00,100.00,0.0000,100.00,100.00
6,0.0000,100.00,100.00,0.0000,100.00,100.00
