epoch,train_loss,train_acc,val_loss,val_acc
1,1.3717,59.89,0.5366,78.24
2,1.0200,61.02,0.5423,78.24
3,0.9036,61.81,0.5446,78.24
4,0.8476,62.65,0.5513,78.24
5,0.8035,63.63,0.5588,78.24
6,0.7725,64.75,0.5809,78.24
